latitude	longitude	population
-21.3248611	164.9998611	1.4481671
-21.3259722	165.0004167	1.4481671
-21.32375	164.9965278	1.4481671
-21.31375	164.9945833	1.4481671
-21.3223611	164.9940278	1.4481671
-21.3256944	165.0004167	1.4481671
-21.3231944	164.9948611	1.4481671
-21.3229167	164.9934722	1.4481671
-21.3243056	164.9973611	1.4481671
-21.3243056	164.9940278	1.4481671
-21.3243056	165.0009722	1.4481671
-21.3245833	165.0015278	1.4481671
-21.3234722	164.9948611	1.4481671
-21.32375	164.9959722	1.4481671
-21.3256944	164.9856944	1.4481671
-21.3231944	165.00125	1.4481671
-21.3248611	164.9993056	1.4481671
-21.32625	165.0004167	1.4481671
-21.3256944	164.9979167	1.4481671
-21.3256944	164.99875	1.4481671
-21.3134722	164.9951389	1.4481671
-21.3231944	164.9968056	1.4481671
-21.3243056	164.99875	1.4481671
-21.3248611	164.9923611	1.4481671
-21.3234722	165.0015278	1.4481671
-21.3256944	164.9926389	1.4481671
-21.3256944	164.9868056	1.4481671
-21.32625	164.9981944	1.4481671
-21.3229167	164.9945833	1.4481671
-21.3231944	165.0015278	1.4481671
-21.32625	165.0009722	1.4481671
-21.32625	164.9973611	1.4481671
-21.3256944	164.9984722	1.4481671
-21.32375	164.9956944	1.4481671
-21.31375	164.9959722	1.4481671
-21.32375	165.0015278	1.4481671
-21.3234722	164.9965278	1.4481671
-21.32625	164.9976389	1.4481671
-21.3240278	164.9945833	1.4481671
-21.3245833	164.9926389	1.4481671
-21.3256944	164.9973611	1.4481671
-21.4743056	165.1981944	1.4481671
-21.4070833	165.2209722	1.4481671
-21.43875	165.2165278	1.4481671
-21.4084722	165.2456944	1.4481671
-21.40625	165.2354167	1.4481671
-21.4398611	165.2198611	1.4481671
-21.44875	165.2045833	1.4481671
-21.4695833	165.1918056	1.4481671
-21.4076389	165.2206944	1.4481671
-21.4501389	165.2476389	1.4481671
-21.4640278	165.1970833	1.4481671
-21.4651389	165.1976389	1.4481671
-21.4381944	165.13875	1.4481671
-21.4648611	165.1934722	1.4481671
-21.4323611	165.21875	1.4481671
-21.4104167	165.2454167	1.4481671
-21.4454167	165.2068056	1.4481671
-21.4565278	165.1706944	1.4481671
-21.47625	165.1643056	1.4481671
-21.4245833	165.2593056	1.4481671
-21.4565278	165.1804167	1.4481671
-21.4098611	165.2306944	1.4481671
-21.4131944	165.2459722	1.4481671
-21.4398611	165.2201389	1.4481671
-21.41625	165.20875	1.4481671
-21.4090278	165.2381944	1.4481671
-21.43875	165.2159722	1.4481671
-21.4101389	165.2445833	1.4481671
-21.40875	165.2459722	1.4481671
-21.4720833	165.1970833	1.4481671
-21.4570833	165.2120833	1.4481671
-21.4059722	165.2331944	1.4481671
-21.4376389	165.1376389	1.4481671
-21.4648611	165.1931944	1.4481671
-21.3290278	164.99875	1.4481671
-21.3348611	164.9881944	1.4481671
-21.3273611	164.9995833	1.4481671
-21.3270833	164.9990278	1.4481671
-21.3270833	164.9993056	1.4481671
-21.3298611	164.9998611	1.4481671
-21.3304167	164.9970833	1.4481671
-21.3315278	164.9970833	1.4481671
-21.3304167	164.9990278	1.4481671
-21.3304167	164.9918056	1.4481671
-21.3309722	164.9998611	1.4481671
-21.3298611	164.9970833	1.4481671
-21.3306944	164.9998611	1.4481671
-21.3298611	164.9973611	1.4481671
-21.3284722	164.9954167	1.4481671
-21.3334722	164.9995833	1.4481671
-21.3301389	164.9876389	1.4481671
-21.32875	164.9973611	1.4481671
-21.3304167	164.9984722	1.4481671
-21.3281944	164.9984722	1.4481671
-21.3301389	164.9993056	1.4481671
-21.33125	164.9995833	1.4481671
-21.3273611	164.9990278	1.4481671
-21.3270833	164.9976389	1.4481671
-21.3281944	164.9876389	1.4481671
-21.3268056	164.9970833	1.4481671
-21.3295833	164.9993056	1.4481671
-21.3304167	164.9973611	1.4481671
-21.3265278	164.9973611	1.4481671
-21.3295833	164.9976389	1.4481671
-21.3293056	164.9873611	1.4481671
-21.3268056	164.9976389	1.4481671
-21.3273611	164.9984722	1.4481671
-21.3306944	164.99625	1.4481671
-21.32875	164.9984722	1.4481671
-21.3306944	164.9976389	1.4481671
-21.3306944	164.9995833	1.4481671
-21.3293056	164.9973611	1.4481671
-21.33125	164.9998611	1.4481671
-21.3304167	164.9995833	1.4481671
-21.3298611	164.9879167	1.4481671
-21.3265278	164.9970833	1.4481671
-21.3290278	164.9990278	1.4481671
-21.3295833	164.9870833	1.4481671
-21.3295833	164.9984722	1.4481671
-21.3281944	164.9945833	1.4481671
-21.3309722	164.99625	1.4481671
-21.3270833	164.9981944	1.4481671
-21.3284722	164.9956944	1.4481671
-21.32875	164.9990278	1.4481671
-21.3320833	164.9998611	1.4481671
-21.3304167	164.9968056	1.4481671
-21.3265278	164.9968056	1.4481671
-21.32875	164.99625	1.4481671
-21.3309722	164.9929167	1.4481671
-21.3295833	164.9879167	1.4481671
-21.3315278	164.9984722	1.4481671
-21.3295833	164.9979167	1.4481671
-21.3276389	164.9956944	1.4481671
-21.3298611	164.9993056	1.4481671
-21.3306944	164.9979167	1.4481671
-21.3268056	164.99875	1.4481671
-21.3293056	164.9984722	1.4481671
-21.3304167	164.9934722	1.4481671
-21.3301389	164.9984722	1.4481671
-21.3265278	164.9995833	1.4481671
-21.3265278	164.99875	1.4481671
-21.3309722	164.9979167	1.4481671
-21.32875	164.9993056	1.4481671
-21.3301389	164.9973611	1.4481671
-21.3298611	164.9926389	1.4481671
-21.33125	164.9993056	1.4481671
-21.3268056	164.9990278	1.4481671
-21.3306944	164.9984722	1.4481671
-21.3315278	164.99875	1.4481671
-21.3306944	164.9918056	1.4481671
-21.3276389	164.9984722	1.4481671
-21.3298611	164.9870833	1.4481671
-21.3270833	164.9998611	1.4481671
-21.3268056	164.99625	1.4481671
-21.3295833	164.99875	1.4481671
-21.3284722	164.9990278	1.4481671
-21.3293056	164.9998611	1.4481671
-21.3276389	164.9981944	1.4481671
-21.3284722	164.9993056	1.4481671
-21.3301389	164.9870833	1.4481671
-21.3304167	164.9976389	1.4481671
-21.32875	164.9876389	1.4481671
-21.3301389	164.9990278	1.4481671
-21.3320833	164.9995833	1.4481671
-21.3279167	164.99875	1.4481671
-21.3281944	164.9956944	1.4481671
-21.33375	164.99875	1.4481671
-21.3276389	164.9990278	1.4481671
-21.4401389	165.2201389	1.4481671
-21.43875	165.21625	1.4481671
-21.47625	165.16375	1.4481671
-21.4140278	165.2509722	1.4481671
-21.4243056	165.1676389	1.4481671
-21.4645833	165.1979167	1.4481671
-21.4059722	165.2334722	1.4481671
-21.4476389	165.2034722	1.4481671
-21.4090278	165.2431944	1.4481671
-21.4068056	165.2356944	1.4481671
-21.4070833	165.2415278	1.4481671
-21.40875	165.2434722	1.4481671
-21.4081944	165.2465278	1.4481671
-21.4748611	165.1995833	1.4481671
-21.44375	165.20625	1.4481671
-21.4054167	165.2484722	1.4481671
-21.4673611	165.1790278	1.4481671
-21.4248611	165.2595833	1.4481671
-21.4090278	165.2176389	1.4481671
-21.4406944	165.2115278	1.4481671
-21.4243056	165.2606944	1.4481671
-21.4209722	165.1659722	1.4481671
-21.4101389	165.2448611	1.4481671
-21.4465278	165.2409722	1.4481671
-21.4093056	165.2379167	1.4481671
-21.4084722	165.2454167	1.4481671
-21.4404167	165.2154167	1.4481671
-21.45625	165.1701389	1.4481671
-21.4068056	165.2379167	1.4481671
-21.42125	165.1659722	1.4481671
-21.4448611	165.2093056	1.4481671
-21.4320833	165.21875	1.4481671
-21.4490278	165.2045833	1.4481671
-21.4129167	165.24625	1.4481671
-21.4051389	165.2484722	1.4481671
-21.4070833	165.2376389	1.4481671
-21.4743056	165.1984722	1.4481671
-21.4576389	165.1815278	1.4481671
-21.4545833	165.21375	1.4481671
-21.4404167	165.1415278	1.4481671
-21.4548611	165.2151389	1.4481671
-21.41125	165.2473611	1.4481671
-21.4201389	165.2581944	1.4481671
-21.3518056	165.1618056	1.4481671
-21.3479167	165.1598611	1.4481671
-21.3698611	165.1951389	1.4481671
